from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
CoreWeave,Microsoft,provides-compute-to,"CoreWeave's FY2025 10-K (Item 1A Risk Factors, customer concentration) states it recognized approximately 67% of its revenue from its top customer, Microsoft, for the year ended December 31, 2025 (77% from top two customers in 2024, 73% from top three customers in 2023).",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2025-12-31,high,2026-07-20,accounting,1
Nvidia,CoreWeave,supplies-components-to,"CoreWeave's FY2025 10-K (Item 1A Risk Factors, supplier concentration) states: 'as a result of our obligations in our current customer contracts, all of the GPUs used in our infrastructure today are NVIDIA GPUs,' and discloses three suppliers accounted for 23%, 20%, and 17% of total purchases for the year ended December 31, 2025.",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2025-12-31,high,2026-07-20,accounting,1
Nvidia,CoreWeave,invests-in,"CoreWeave's FY2025 10-K (Notes to Financial Statements, Subsequent Events) states: 'In January 2026, NVIDIA Corporation invested $2 billion in the Company's Class A common stock at a purchase price of $87.20 per share.'",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2025-12-31,high,2026-07-20,accounting,1
CoreWeave,OpenAI,provides-compute-to,"CoreWeave's FY2025 10-K (Item 1A Risk Factors, customer concentration) states it entered a master services agreement with OpenAI OpCo, LLC in May 2025, and a September 2025 order form under which OpenAI committed to pay CoreWeave up to approximately $6.5 billion through May 31, 2031.",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2025-12-31,high,2026-07-20,accounting,1
CoreWeave,Meta Platforms,provides-compute-to,"CoreWeave's FY2025 10-K (Item 1A Risk Factors, customer concentration) states that in September 2025 it entered an order form under an existing master services agreement under which Meta Platforms, Inc. initially committed to pay CoreWeave up to approximately $14.2 billion through December 2031.",https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2025-12-31,high,2026-07-20,accounting,1
Nvidia,Nebius Group,supplies-components-to,"Nebius Group's FY2025 20-F (Item 3.D Risk Factors, 'Risks Related to Our Operations') states: 'We currently rely on Nvidia for the GPU chips we use and on a limited number of other suppliers for other key components in our infrastructure.'",https://www.sec.gov/Archives/edgar/data/1513845/000110465926052948/nbis-20251231x20f.htm,2025-12-31,high,2026-07-20,accounting,1
Nvidia,Nebius Group,invests-in,"Nebius Group's FY2025 20-F (Notes to Consolidated Financial Statements, 'Equity Investment and Commercial Partnership with NVIDIA') states that on March 11, 2026 the Group entered a securities purchase agreement to sell NVIDIA Corporation a pre-funded warrant to purchase approximately 21.07 million Class A shares, for aggregate gross proceeds of approximately $2.0 billion, described as 'part of a broader strategic collaboration between the Group and NVIDIA.'",https://www.sec.gov/Archives/edgar/data/1513845/000110465926052948/nbis-20251231x20f.htm,2025-12-31,high,2026-07-20,accounting,1
Nebius Group,Meta Platforms,provides-compute-to,"Nebius Group's FY2025 20-F (Notes to Consolidated Financial Statements, 'AI Infrastructure Supply Agreement with Meta') states that on March 16, 2026 the Group entered a five-year agreement to provide approximately $12 billion of dedicated AI compute capacity to Meta, based on large-scale deployments of the NVIDIA Vera Rubin platform, with delivery expected to commence in early 2027; Meta committed to purchase up to $15 billion of additional available compute capacity over the five-year period.",https://www.sec.gov/Archives/edgar/data/1513845/000110465926052948/nbis-20251231x20f.htm,2025-12-31,high,2026-07-20,accounting,1
Microsoft,OpenAI,invests-in,"Microsoft's FY2025 10-K (Notes to Financial Statements, Financial Instruments/Investments) states: 'We have an investment in OpenAI Global, LLC (""OpenAI"") and have made total funding commitments of $13 billion. The investment is accounted for under the equity method of accounting.'",https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-06-30,high,2026-07-20,accounting,1
Microsoft,OpenAI,provides-compute-to,"Microsoft's FY2025 10-K (Item 7 MD&A, Industry Trends and Opportunities) states: 'The OpenAI API is exclusive to Azure, runs on Azure, and is available through the Azure OpenAI Service. We also have a right of first refusal on OpenAI's new capacity needs.' The same passage states Microsoft is a major investor in OpenAI with reciprocal revenue-sharing arrangements.",https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-06-30,high,2026-07-20,accounting,1
