from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
Panasonic Holdings,Tesla,supplies-cells-to,"Tesla's FY2024 Form 10-K risk factors state: ""Currently, we rely on suppliers such as Panasonic and Contemporary Amperex Technology Co. Limited (CATL) for these cells,"" referring to the lithium-ion battery cells used in Tesla vehicles and energy storage products. Panasonic also operates as Tesla's cell-production partner at Gigafactory Nevada.",https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,2025-01-30,high,2026-07-25,accounting,1
CATL,Tesla,supplies-cells-to,"Tesla's FY2024 Form 10-K risk factors state: ""Currently, we rely on suppliers such as Panasonic and Contemporary Amperex Technology Co. Limited (CATL) for these cells,"" referring to the lithium-ion battery cells used in Tesla vehicles and energy storage products.",https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,2025-01-30,high,2026-07-25,accounting,1
LG Energy Solution,General Motors,supplies-cells-to,"LG Energy Solution's own newsroom press release states: ""Ultium Cells, a joint venture of LG Energy Solution and General Motors, today announced a $2.6 billion investment to build its third battery cell manufacturing plant in the United States."" Ultium Cells LLC is the 50/50 JV supplying GM's Ultium-platform EV battery cells.",https://news.lgensol.com/company-news/press-releases/881/,2022-01-26,high,2026-07-25,accounting,2
Samsung SDI,General Motors,supplies-cells-to,"Samsung SDI's own newsroom states: ""SAMSUNG SDI announced today that the company has completed and signed an agreement with General Motors to establish a joint venture to supply electric vehicle (EV) batteries in the United States,"" a $3.5B, ~27-36 GWh prismatic-cell plant in New Carlisle, Indiana.",https://www.samsungsdi.com/sdi-now/sdi-news/3942.html,2024-08-28,high,2026-07-25,accounting,2
Panasonic Holdings,Toyota,supplies-cells-to,"Panasonic's own newsroom press release states: ""Toyota Motor Corporation (Toyota) and Panasonic Corporation (Panasonic) announced today that they have decided to establish Prime Planet Energy & Solutions, Inc., a joint venture specializing in automotive prismatic batteries,"" 51% Toyota / 49% Panasonic, operating since April 2020 and supplying Toyota's hybrid and BEV lines (incl. bZ4X FWD variant).",https://news.panasonic.com/global/press/en200203-4,2020-02-03,high,2026-07-25,accounting,2
CATL,Toyota,supplies-cells-to,"Toyota's own Global Newsroom press release states: ""Contemporary Amperex Technology Co., Limited (CATL) and Toyota Motor Corporation (Toyota) announced today that they have entered into a comprehensive partnership agreement for the stable supply and further development of New Energy Vehicle (NEV) batteries."" CATL cells are used in both the US AWD bZ4X and the China-market bZ4X.",https://global.toyota/en/newsroom/corporate/28913488.html,2019-07-17,high,2026-07-25,accounting,2
Volkswagen Group,Gotion High-Tech,invests-in,"Volkswagen Group's own press release states: ""Volkswagen (China) Investment Co. Ltd. will become the largest shareholder in Gotion, with 26 percent of the shares, through a buy-in of around €1.1 billion,"" making VW the first global automaker to take a direct equity stake in a Chinese battery maker.",https://www.volkswagen-group.com/en/press-releases/volkswagen-intensifies-e-mobility-activities-in-china-16684,2020-05-29,high,2026-07-25,accounting,2
Gotion High-Tech,Volkswagen Group,supplies-cells-to,"Volkswagen Group's own press release announcing the Germany cell plant states that VCIC and Hefei Gotion High-Tech Power Energy Co., Ltd. (Gotion High-Tech's subsidiary) ""agreed that Gotion High-Tech will develop the first generation of unified cells for the volume segment,"" a partnership that led to Gotion becoming VW's designated overseas battery-cell supplier (2023) and starting unified-cell deliveries to VW platforms (Nov 2025).",https://www.volkswagen-group.com/en/press-releases/volkswagen-group-and-gotion-high-tech-team-up-to-industrialize-battery-cell-production-in-germany-16771,2021-07-13,high,2026-07-25,accounting,2
SK On,Volkswagen Group,supplies-cells-to,"Volkswagen Group's own press release states: ""With the South Korean battery cell manufacturer SK Innovation (SKI), the Volkswagen Group has named a further strategic supplier for electric vehicles based on the Modular Electric Toolkit (MEB)."" SK Innovation's battery division was spun off in 2021 as SK On, the roster entity carrying this MEB cell-supply relationship forward; the source document predates that spin-off, so it names the predecessor legal entity.",https://www.volkswagen-group.com/en/press-releases/volkswagen-nominates-further-battery-cell-supplier-16594,2018-11-13,medium,2026-07-25,accounting,2
Yunnan Energy New Material (SEMCORP),CATL,supplies-separator-to,"Yunnan Energy New Material (SEMCORP) FY2025 annual report, business-overview section, names its core battery-maker customers: 宁德时代(CATL), 比亚迪(BYD), 亿纬锂能(EVE), 中创新航(CALB), 国轩高科(Gotion), 松下(Panasonic), LGES. Separator supply.",http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-23/12145665.PDF,2026-04-23,high,2026-07-25,accounting,1
