source_id,tier,lens,publisher,company,title,url,retrieved,note,status,superseded_by
SRC001,1,accounting,SEC EDGAR,Nvidia,Nvidia FY2026 (ended 2026-01-25) filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000019/q4fy26pr.htm,2026-07-13,Primary financial source,live,
SRC002,1,accounting,SEC EDGAR,Broadcom,Broadcom FY2025 (ended 2025-11-02) filing,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,2026-07-14,Primary financial source,live,
SRC003,1,accounting,mediatek.com,MediaTek,MediaTek FY2025 (calendar year ended 2025-12-31) filing,https://www.mediatek.com/hubfs/MediaTek%20Assets/Pdfs/Quarterly%20Earnings%20Release/2025/Quarterly%20Earnings%20Release-2025Q4/Press%20Release.pdf?hsLang=en,2026-07-14,Primary financial source,live,
SRC004,1,accounting,SEC EDGAR,Qualcomm,Qualcomm FY2025 (ended 2025-09-28) filing,https://www.sec.gov/Archives/edgar/data/804328/000080432825000085/0000804328-25-000085-index.htm,2026-07-14,Primary financial source,live,
SRC005,1,accounting,SEC EDGAR,AMD,AMD FY2025 (ended 2025-12-27) filing,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,2026-07-14,Primary financial source,live,
SRC006,1,accounting,SEC EDGAR,Apple,Apple FY2025 (ended 2025-09-27) filing,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm,2026-07-14,Primary financial source,live,
SRC007,1,accounting,SEC EDGAR,Alphabet (Google),Alphabet (Google) FY2025 (ended 2025-12-31) filing,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.htm,2026-07-14,Primary financial source,live,
SRC008,1,accounting,SEC EDGAR,Meta,Meta FY2025 (ended 2025-12-31) filing,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,2026-07-14,Primary financial source,live,
SRC009,1,accounting,SEC EDGAR,Microsoft,Microsoft FY2025 (ended 2025-06-30) filing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2026-07-14,Primary financial source,live,
SRC010,1,accounting,SEC EDGAR,Amazon,Amazon FY2025 (ended 2025-12-31) filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,2026-07-14,Primary financial source,live,
