from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
Aurobindo Pharma,Merck & Co,manufactures-for,"From Aurobindo's Q4FY26 earnings presentation, ""TheraNym – Our Foray into Biologics Contract Manufacturing"" slide: ""Strengthening Collaboration with MSD: TheraNym executed an additional product schedule with Merck Sharp & Dohme Singapore Trading (MSD), expanding the existing CMO relationship first announced in May 2024."" and ""CMO Manufacturing and Supply: Under the schedule, TheraNym will build, operate and supply the drug substance to MSD, further embedding TheraNym in MSD's global supply chain."" TheraNym is Aurobindo's biologics CDMO subsidiary; the new schedule adds a dedicated greenfield Drug Substance facility (Unit 2, 60 kL mammalian cell-culture capacity, USD 150-175 Mn capex).",https://www.aurobindo.com/api/uploads/resultsannouncement/APL_EarningsPresentation_Q4FY26.pdf,2026-03-31,high,2026-07-22,accounting,2
McKesson Corporation,CVS Health (Caremark),distributes-to,"McKesson's fiscal 2026 (ended March 31, 2026) 10-K states: sales to its largest customer, CVS Health Corporation, accounted for approximately 24% of total consolidated revenues, and 21% of total trade receivables, in fiscal 2026. The filing also notes McKesson extended its pharmaceutical distribution partnership with CVS to June 2027 (extension made in fiscal 2023). CVS was McKesson's single largest named customer of the ten largest customers, which together accounted for approximately 73% of total consolidated revenues.",https://www.sec.gov/Archives/edgar/data/927653/000092765326000069/mck-20260331.htm,2026-03-31,high,2026-07-22,accounting,1
Cardinal Health,CVS Health (Caremark),distributes-to,"Cardinal Health's fiscal 2025 (ended June 30, 2025) 10-K states: 'Our largest customer, CVS Health, accounted for 30 percent of our fiscal 2025 revenue,' and 26% of gross trade receivables at June 30, 2025. The filing identifies CVS Health Corporation as the only customer individually accounting for at least 10% of revenue and/or gross trade receivables in fiscal 2025, serviced through the Pharmaceutical and Specialty Solutions segment.",https://www.sec.gov/Archives/edgar/data/721371/000072137125000079/cah-20250630.htm,2025-06-30,high,2026-07-22,accounting,1
Cardinal Health,CVS Health (Caremark),invests-in,"Cardinal Health's fiscal 2025 10-K discloses that Cardinal Health and CVS Health Corporation each hold a 50% ownership interest in Red Oak Sourcing, LLC ('Red Oak Sourcing'), a U.S.-based generic-pharmaceutical sourcing venture established in 2014 that negotiates generic pharmaceutical supply contracts on behalf of both companies; the arrangement was amended in August 2021 to extend the term through June 2029.",https://www.sec.gov/Archives/edgar/data/721371/000072137125000079/cah-20250630.htm,2025-06-30,high,2026-07-22,accounting,1
McKesson Corporation,Cencora (formerly AmerisourceBergen),competes-with,"McKesson's fiscal 2026 10-K, in its Business/Competition section, states: 'Our primary competitors in distribution, wholesaling, and logistics are Cencora, Inc. and Cardinal Health, Inc.'",https://www.sec.gov/Archives/edgar/data/927653/000092765326000069/mck-20260331.htm,2026-03-31,high,2026-07-22,accounting,1
McKesson Corporation,Cardinal Health,competes-with,"McKesson's fiscal 2026 10-K, in its Business/Competition section, states: 'Our primary competitors in distribution, wholesaling, and logistics are Cencora, Inc. and Cardinal Health, Inc.'",https://www.sec.gov/Archives/edgar/data/927653/000092765326000069/mck-20260331.htm,2026-03-31,high,2026-07-22,accounting,1
Cencora (formerly AmerisourceBergen),McKesson Corporation,competes-with,"Cencora's fiscal 2025 (ended September 30, 2025) 10-K, in its Competition section, states: 'Our largest competitors are McKesson Corporation (""McKesson""), Cardinal Health, Inc. (""Cardinal""), and UPS Logistics, among others,' describing the competitive landscape for pharmaceutical distribution.",https://www.sec.gov/Archives/edgar/data/1140859/000114085925000131/cor-20250930.htm,2025-09-30,high,2026-07-22,accounting,1
Cencora (formerly AmerisourceBergen),Cardinal Health,competes-with,"Cencora's fiscal 2025 10-K, in its Competition section, states: 'Our largest competitors are McKesson Corporation (""McKesson""), Cardinal Health, Inc. (""Cardinal""), and UPS Logistics, among others,' describing the competitive landscape for pharmaceutical distribution.",https://www.sec.gov/Archives/edgar/data/1140859/000114085925000131/cor-20250930.htm,2025-09-30,high,2026-07-22,accounting,1
Cardinal Health,McKesson Corporation,competes-with,"Cardinal Health's fiscal 2025 10-K states it competes 'with wholesale distributors with national reach, including McKesson Corporation and Cencora, Inc.' in its Pharma segment.",https://www.sec.gov/Archives/edgar/data/721371/000072137125000079/cah-20250630.htm,2025-06-30,high,2026-07-22,accounting,1
Cardinal Health,Cencora (formerly AmerisourceBergen),competes-with,"Cardinal Health's fiscal 2025 10-K states it competes 'with wholesale distributors with national reach, including McKesson Corporation and Cencora, Inc.' in its Pharma segment.",https://www.sec.gov/Archives/edgar/data/721371/000072137125000079/cah-20250630.htm,2025-06-30,high,2026-07-22,accounting,1
