from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
TSMC,Nvidia,fabricates-for,"Nvidia's 10-K states it utilizes foundries, including TSMC, to produce its semiconductor wafers; TSMC is Nvidia's primary leading-edge foundry.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Samsung,Nvidia,fabricates-for,"Nvidia's 10-K states it utilizes foundries, including Samsung Electronics, alongside TSMC, to produce its semiconductor wafers.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
SK hynix,Nvidia,supplies-components-to,Nvidia's 10-K states it purchases memory from SK Hynix Inc.; SK hynix separately announced a June 2026 technology partnership with Nvidia including supply of memory semiconductors for Nvidia's AI infrastructure roadmap (Vera Rubin platforms).,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm ; https://www.sec.gov/Archives/edgar/data/2120882/000119312526280172/d32785df1.htm,2025-01-26,high,2026-07-14,accounting,1
Micron,Nvidia,supplies-components-to,"Nvidia's 10-K states it purchases memory from Micron Technology, Inc.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Samsung,Nvidia,supplies-components-to,"Nvidia's 10-K states it purchases memory from Samsung Electronics, in addition to using Samsung as a wafer foundry.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,AMD,competes-with,"Nvidia's 10-K names AMD as a current competitor among suppliers of GPUs, custom chips and other accelerated computing solutions.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,Intel,competes-with,"Nvidia's 10-K names Intel Corporation as a current competitor among suppliers of GPUs, custom chips and other accelerated computing solutions.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,Broadcom,competes-with,"Nvidia's 10-K names Broadcom as a competitor in SoC products for automotive, gaming and edge devices.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,Qualcomm,competes-with,"Nvidia's 10-K names Qualcomm Incorporated as a competitor in SoC products for automotive, gaming and edge devices.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,Alphabet (Google),competes-with,Nvidia's 10-K names Alphabet Inc. among large cloud services companies with internal teams designing hardware/software that compete with Nvidia's accelerated computing platforms.,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,Amazon,competes-with,"Nvidia's 10-K names Amazon, Inc. among large cloud services companies with internal teams designing hardware/software that compete with Nvidia's accelerated computing platforms.",https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,Microsoft,competes-with,Nvidia's 10-K names Microsoft Corporation among large cloud services companies with internal teams designing hardware/software that compete with Nvidia's accelerated computing platforms.,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-01-26,high,2026-07-14,accounting,1
Nvidia,Intel,invests-in,"Intel's 10-K discloses that on September 15, 2025, Intel agreed to issue and sell Nvidia 215 million shares of Intel common stock at $23.28/share (about $5.0 billion), completed December 26, 2025, as part of a strategic partnership to co-develop x86 CPU and AI accelerator products.",https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025-12-26,high,2026-07-14,accounting,1
Arm,Nvidia,licenses-ip-to,"Nvidia's Grace CPU Superchip, its first Arm-based data center CPU, is built on 144 licensed Arm Neoverse V2 cores.",https://newsroom.arm.com/blog/neoverse-nvidia-grace,2023-01-01,high,2026-07-14,accounting,3
ASML,TSMC,sells-equipment-to,"TSMC (Taiwan) accounted for EUR 8,337.9 million of ASML's total net sales in 2025 (about 25% of EUR 32.7bn total), ASML's largest single-country concentration, driven mainly by TSMC's EUV/DUV lithography purchases.",https://www.sec.gov/Archives/edgar/data/0000937966/000162828026011378/asml-20251231.htm,2025-12-31,high,2026-07-14,accounting,1
ASML,Samsung,sells-equipment-to,"ASML's 20-F states customers in South Korea, led by Samsung Electronics, represented 25.0% of ASML's 2025 total net sales (EUR 8,159.6 million).",https://www.sec.gov/Archives/edgar/data/0000937966/000162828026011378/asml-20251231.htm,2025-12-31,medium,2026-07-14,accounting,1
ASML,SK hynix,sells-equipment-to,"SK hynix committed roughly $7.9 billion (about KRW 12 trillion, covering an estimated 30 EUV scanners) to ASML through 2027 to expand HBM and advanced DRAM production capacity at its M15X and Yongin sites.",https://www.tomshardware.com/tech-industry/semiconductors/sk-hynix-places-record-8-billion-order-for-asml-euv-lithography-machines,2026-03-24,high,2026-07-14,accounting,3
ASML,Intel,sells-equipment-to,"Intel's 10-K states ASML is currently the sole supplier of EUV lithography tools that Intel deploys for its Intel 4, Intel 3, Intel 18A and planned future leading-edge manufacturing process nodes.",https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025-12-27,high,2026-07-14,accounting,1
Arm,Qualcomm,licenses-ip-to,"Arm's 20-F discloses ongoing litigation over Qualcomm's Architecture License Agreement (ALA) with Arm (including the Nuvia ALA dispute), confirming an active Arm architecture license held by Qualcomm.",https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,2026-03-31,high,2026-07-14,accounting,1
Arm,Apple,licenses-ip-to,"Apple holds a perpetual Arm architecture license and, per Tom's Hardware, signed a new long-term Arm license agreement extending through 2040, underpinning Apple's custom A-series and M-series silicon.",https://www.tomshardware.com/news/apple-inks-new-long-term-arm-license-agreement-till-2040,2023-01-01,high,2026-07-14,accounting,3
Arm,MediaTek,licenses-ip-to,"MediaTek licenses Arm Cortex CPU core designs for its Dimensity smartphone SoC line, an Arm-MediaTek partnership Arm describes on its official partner page.",https://www.arm.com/company/success-library/made-possible/mediatek,2024-01-01,high,2026-07-14,accounting,3
Arm,Samsung,licenses-ip-to,"Samsung's Exynos 2100 mobile SoC is built on Arm's compute and graphics IP, per Arm's official newsroom announcement of the partnership.",https://newsroom.arm.com/news/arms-powerful-compute-and-graphics-platform-at-the-heart-of-the-new-samsung-exynos-2100,2021-01-01,high,2026-07-14,accounting,3
Arm,Amazon,licenses-ip-to,"Amazon Web Services licenses Arm Neoverse cores for its Graviton server CPU line (Graviton2 through the Neoverse V3-based Graviton5, announced December 2025).",https://newsroom.arm.com/blog/arm-converged-ai-data-center-aws-graviton5,2025-12-01,high,2026-07-14,accounting,3
Arm,Alphabet (Google),licenses-ip-to,"Google Cloud's Axion server CPU is built on licensed Arm Neoverse V2 cores, per Google Cloud's official announcement.",https://cloud.google.com/blog/products/compute/introducing-googles-new-arm-based-cpu,2024-04-09,high,2026-07-14,accounting,3
Arm,Microsoft,licenses-ip-to,"Microsoft Azure's Cobalt 100 server CPU is built on licensed Arm Neoverse N2 cores, per Arm's official newsroom announcement of the partnership.",https://newsroom.arm.com/blog/arm-powered-microsoft-azure-cobalt-100-vms,2024-01-01,high,2026-07-14,accounting,3
Samsung,Tesla,fabricates-for,"Samsung Foundry signed a roughly $16.5 billion, multi-year (2025-2033) contract to manufacture Tesla's next-generation AI5/AI6 self-driving chips at its Taylor, Texas fab, confirmed publicly by Elon Musk.",https://www.cnbc.com/2025/07/28/samsung-electronics-new-chip-supply-contract.html,2025-07-28,high,2026-07-14,accounting,3
Samsung,Apple,supplies-components-to,"Samsung Foundry began producing camera image sensors (CIS) for Apple iPhones at its Austin S1 fab, breaking Sony's prior exclusive CIS supply relationship with Apple.",https://en.koreaportal.com/articles/53722/20250807/samsung-foundry-wins-apple-tesla-16-5b-deals-end-years.htm,2025-08-07,medium,2026-07-14,accounting,3
Applied Materials,Samsung,sells-equipment-to,"South Korea (home to Samsung and SK hynix) represented 20% of Applied Materials' FY2025 net revenue, up 25% year over year; Samsung is among the logic/foundry and memory customers driving Applied Materials' largest segment.",https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,2025-10-26,medium,2026-07-14,accounting,1
Intel,TSMC,competes-with,"Intel's 10-K states its primary competitor in leading-edge semiconductor process technology is TSMC, which holds a leading position in manufacturing at scale for the most advanced nodes.",https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025-12-27,high,2026-07-14,accounting,1
Intel,AMD,competes-with,"Intel's 10-K names AMD as a competitor across the full spectrum of CPUs, GPUs, accelerators and other products.",https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025-12-27,high,2026-07-14,accounting,1
Intel,Qualcomm,competes-with,Intel's 10-K names Qualcomm as a competitor for client computing products.,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025-12-27,high,2026-07-14,accounting,1
Intel,Nvidia,competes-with,"Intel's 10-K names Nvidia as a competitor in GPU systems and accelerator products, even as the two companies separately entered a co-development and equity partnership in 2025.",https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025-12-27,high,2026-07-14,accounting,1
Intel,Broadcom,competes-with,Intel's 10-K states Intel competes with Broadcom in the custom ASICs development market.,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025-12-27,high,2026-07-14,accounting,1
Applied Materials,TSMC,sells-equipment-to,"Taiwan (TSMC's home market) represented 24% of Applied Materials' FY2025 net revenue (up 71% year over year to $6.86 billion), the company's largest single-country jump, reflecting equipment purchases tied to TSMC's capacity expansion.",https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,2025-10-26,medium,2026-07-14,accounting,1
Applied Materials,SK hynix,sells-equipment-to,"DRAM-related systems were 26% of Applied Materials' FY2025 Semiconductor Systems segment revenue; SK hynix, alongside Samsung and Micron, is one of the principal DRAM/HBM producers served by this segment.",https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,2025-10-26,medium,2026-07-14,accounting,1
Applied Materials,Micron,sells-equipment-to,DRAM and NAND flash memory systems together were 33% of Applied Materials' FY2025 Semiconductor Systems segment revenue; Micron is one of the principal memory producers served by this segment.,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,2025-10-26,medium,2026-07-14,accounting,1
Applied Materials,Intel,sells-equipment-to,"Intel's 10-K discloses reliance on a concentrated set of equipment providers for leading-edge process technology; Applied Materials is a top-three equipment supplier to logic/foundry customers including Intel, alongside TSMC and Samsung.",https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,2025-10-26,medium,2026-07-14,accounting,1
SK hynix,Samsung,competes-with,SK hynix's Form F-1 names Samsung Electronics as a major competitor in the DRAM and NAND flash memory markets.,https://www.sec.gov/Archives/edgar/data/2120882/000119312526280172/d32785df1.htm,2026-06-24,high,2026-07-14,accounting,1
SK hynix,Micron,competes-with,SK hynix's Form F-1 names Micron Technology as a major competitor in the DRAM and NAND flash memory markets.,https://www.sec.gov/Archives/edgar/data/2120882/000119312526280172/d32785df1.htm,2026-06-24,high,2026-07-14,accounting,1
TSMC,Apple,fabricates-for,TSMC's 20-F discloses its ten largest customers accounted for 78% of 2025 net revenue and its single largest customer 19%; independent reporting (CNBC) identifies Apple and Nvidia as TSMC's two largest customers by revenue.,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm ; https://www.cnbc.com/2026/01/26/nvidia-set-to-supplant-apple-as-tsmcs-largest-customer.html,2025-12-31,medium,2026-07-14,accounting,1
TSMC,AMD,fabricates-for,"TSMC's 2nm process reached mass production in Q4 2025; reporting identifies Apple, AMD, Qualcomm, MediaTek, Broadcom and Intel among the customers starting mass production or cooperation on the node.",https://eu.36kr.com/en/p/3441814966441606,2025-10-01,medium,2026-07-14,accounting,3
TSMC,Broadcom,fabricates-for,Broadcom is a top TSMC customer for custom AI ASICs; Broadcom publicly flagged that constrained TSMC foundry capacity would limit its chip supply into 2026 amid surging AI accelerator demand.,https://www.astutegroup.com/news/memory-shortages/broadcom-flags-2026-chip-supply-squeeze-as-tsmc-capacity-tightens-under-ai-demand/,2025-12-01,medium,2026-07-14,accounting,3
TSMC,Qualcomm,fabricates-for,Qualcomm is among the customers TSMC identified as starting mass production or cooperation on TSMC's 2nm process node in Q4 2025.,https://eu.36kr.com/en/p/3441814966441606,2025-10-01,medium,2026-07-14,accounting,3
