gap_id,kind,subject,sought,searched,found_instead,blocks,would_close_it,status,last_checked
gap-10-1,undisclosed,Centrus Energy Corp,"The named utility customers of Centrus, to draw enricher->utility dependency edges","Centrus Energy Corp FY2025 10-K (leu-20251231.htm), full text","""The majority of our customers are domestic and international utilities that operate nuclear power plants"" and ""our revenue is largely dependent on our largest customers"" -- no utility named; international sales ~33% of LEU-segment revenue since 2023, still unnamed",enricher->utility edges (Centrus -> any utility on this map),"A Centrus 10-K customer-concentration note naming a >10% customer, or a utility 10-K naming Centrus as its enrichment supplier",open,2026-07-25
gap-10-2,unevidenced-flag,Urenco Group,A sourced dependency edge corroborating Urenco's enrichment-chokepoint flag (who depends on Urenco enrichment),This map's own relationships.csv after the 2026-07-25 burst: Urenco has zero sourced inbound or outbound edges,Chokepoint flagged from the FOUNDATION enrichment-oligopoly hypothesis but not yet corroborated by a sourced edge; Urenco is also uncosted this burst,the enrichment-chokepoint claim for the largest Western enricher,"A US/EU utility or enricher filing naming a Urenco enrichment supply contract, or Urenco's own annual report customer/segment disclosure",open,2026-07-25
gap-10-3,unevidenced-flag,TVEL Fuel Company,A sourced dependency edge corroborating TVEL's VVER-fuel chokepoint flag,This map's own relationships.csv after the 2026-07-25 burst: TVEL has zero sourced edges,"Chokepoint flagged (sole qualified VVER fuel supplier) from FOUNDATION hypothesis, not yet corroborated by a sourced edge",the VVER fuel-fabrication chokepoint claim,"A VVER-operator utility filing (Paks/Hungary, Slovakia, Bulgaria, Finland) naming TVEL as fuel supplier, or a Westinghouse VVER-qualification disclosure naming the incumbent",open,2026-07-25
gap-10-4,unevidenced-flag,China National Nuclear Corporation (CNNC),A sourced dependency edge corroborating CNNC's enrichment-oligopoly chokepoint flag,This map's own relationships.csv after the 2026-07-25 burst: CNNC has zero sourced edges,"Chokepoint flagged as the fourth enrichment-oligopoly member from FOUNDATION hypothesis, not yet corroborated by a sourced edge; CNNC parent is also uncosted (unlisted state entity)",the CNNC enrichment-chokepoint claim,"A WNA enrichment-capacity table binding CNNC, or a Chinese utility/CNNP disclosure of CNNC fuel-cycle supply",open,2026-07-25
gap-10-5,unevidenced-flag,Honeywell International (Metropolis Works),A sourced dependency edge corroborating the Metropolis Works sole-US-conversion chokepoint flag,This map's own relationships.csv after the 2026-07-25 burst: Honeywell/Metropolis has zero sourced edges,"Chokepoint flagged (only US UF6 conversion plant) from FOUNDATION hypothesis, not yet corroborated by a sourced edge; note the costed figures are the whole Honeywell conglomerate, not the plant",the US-conversion chokepoint claim,"A US enricher/utility filing naming Metropolis Works UF6 conversion supply, or a Honeywell segment disclosure separating the conversion business",open,2026-07-25
gap-10-6,unreachable,Electricite de France (EDF),Tool verification of EDF's FY2025 figures against the cited consolidated financial statements,"https://www.edf.fr/sites/groupe/files/2026-02/annual-results-2025-consolidated-financial-statements.pdf, opened and READ in full for this burst; also tested www.edf.fr root and the 2025 Universal Registration Document","The document is genuine and was read; the figures come from it. But the WHOLE edf.fr host is unreachable to this repo's verifiers on this machine: system Python 3.9.6 links LibreSSL 2.8.3 and cannot negotiate the TLS version www.edf.fr requires (SSL: TLSV1_ALERT_PROTOCOL_VERSION); curl reaches the TLS layer but is served HTTP 403. So EDF is the only costed row on this map that verify_sources.py cannot check, and it is UNVERIFIED BY TOOL, human-read only. The citation was deliberately NOT swapped for a weaker reachable source, because that would reword the claim to silence the checker rather than record the limitation","verify_sources.py coverage of the EDF row, and of any future edf.fr citation anywhere in this atlas","A Python build linked against OpenSSL 1.1.1+ rather than LibreSSL 2.8.3, or an EDF filing mirrored on a TLS-1.2-reachable host such as the AMF regulatory filing store",open,2026-07-28
gap-10-7,unreachable,Electricite de France (EDF) -> Framatome,Tool verification that the cited document names both endpoints of the EDF 80.5% stake in Framatome,"EDF FY2025 consolidated financial statements (note 8), read directly; verify_edges.py run against the same URL","The note states ""Non-controlling interests in Framatome, owned 80.5% by the Group via EDF SA, correspond to the 19.5% share held by Mitsubishi Heavy Industries"", read by a human. verify_edges.py cannot reach edf.fr at all for the TLS reason in gap-10-6, so this edge alone among the map's 16 is unverified by tool",Automated verification of the EDF -> Framatome edge,"Same as gap-10-6, or an EDF ownership statement on a reachable host naming both EDF and Framatome",open,2026-07-28
gap-10-8,stale-evidence,Framatome -> Electricite de France (EDF),A current-year source for Framatome fabricating fuel assemblies for EDF,"EDF FY2025 consolidated financial statements, full text; Orano FY2025 consolidated financial statements; Framatome press room","The only source naming both parties is a 2018-05-23 Framatome press release covering a 2023-2032 supply period, so it is in force but eight years old. EDF's own FY2025 statements never name Framatome as its fuel fabricator, because Framatome is 80.5% owned and consolidated, so intercompany fuel transactions are ELIMINATED on consolidation. The relationship is real and structurally invisible in the consolidated accounts, which is why no current filing can evidence it","Confidence in the Framatome -> EDF fuel fabrication edge, currently medium on 2018 evidence","Framatome standalone statutory accounts filed in France, or an EDF Universal Registration Document section on fuel supply naming Framatome outside the consolidation",open,2026-07-28
gap-10-9,undisclosed,Honeywell International (Metropolis Works),"A disclosed UF6 conversion supply relationship from Honeywell's Metropolis Works to any company on this roster, to evidence the Honeywell chokepoint flag (gap-10-5)","Uranium Energy Corp FY2025 10-K, full text; Energy Fuels Inc FY2025 10-K, full text; SEC EDGAR full-text search for ""Metropolis"" across 10-K filings; Centrus Energy EDGAR history","UEC's FY2025 10-K names the plant only as a STORAGE location, not a supplier: ""the uranium we purchase is or will be stored at the licensed uranium conversion facilities at ConverDyn, located in Metropolis, Illinois, owned by Honeywell, and at Cameco Corporation's facilities, located in Ontario, Canada."" A candidate Honeywell -> UEC supplies-uf6-to edge was DROPPED in this burst because storage is not supply. Note the same sentence names Cameco as an alternative, which cuts AGAINST the sole-source premise of the chokepoint flag. Energy Fuels' FY2025 10-K has dropped the Metropolis/ConverDyn language its FY2022-2023 filings carried","gap-10-5; and the chokepoint=yes flag on Honeywell, which this evidence weakens rather than supports","A conversion services agreement disclosed in a Honeywell or utility filing, or a US converter market-share statement from EIA that establishes Metropolis as non-routable",open,2026-07-28
gap-10-10,out-of-scope,TVEL Fuel Company,"A VVER-reactor operator on this roster that discloses TVEL as its fuel supplier, to evidence the TVEL chokepoint (gap-10-3)","EDF FY2025 consolidated financial statements; Urenco FY2025 annual report; Constellation Energy roster row. All three operate PWR/BWR fleets, not VVERs","This map's roster contains ZERO VVER operators, so no TVEL dependency edge is drawable no matter which document is opened. The counterparties exist and disclose the relationship; they are simply not on the roster. This is a finding about the roster, not about the world","gap-10-3, and any sourced evidence for the TVEL chokepoint flag","Adding a VVER operator to companies.csv, such as MVM Paksi Atomeromu Zrt (Hungary, Paks) or Slovenske elektrarne (Slovakia), each of which publicly discloses TVEL or Rosatom as fuel supplier",open,2026-07-28
