from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
Cameco Corporation,Westinghouse Electric Company,invests-in,"Cameco owns a 49% interest in Westinghouse Electric Company in a strategic partnership with Brookfield, expanding its participation downstream into fuel fabrication and reactor technology (Cameco FY2025 Annual Information Form).",https://www.sec.gov/Archives/edgar/data/1009001/000119312526116229/d34605dex991.htm,2026-03-19,high,2026-07-25,accounting,1
Cameco Corporation,National Atomic Company Kazatomprom,jv-partner-with,"Cameco (40%) and Kazatomprom (60%) jointly own JV Inkai, a material Kazakh in-situ recovery uranium operation; Cameco lifts its proportionate share of Inkai output (Cameco FY2025 Annual Information Form).",https://www.sec.gov/Archives/edgar/data/1009001/000119312526116229/d34605dex991.htm,2026-03-19,high,2026-07-25,accounting,1
Cameco Corporation,Global Laser Enrichment (GLE),invests-in,Cameco owns a 49% interest in GLE (with an unexercised option to reach 75%) and is its commercial lead; GLE is the exclusive worldwide licensee of the SILEX laser-enrichment technology (Cameco FY2025 Annual Information Form).,https://www.sec.gov/Archives/edgar/data/1009001/000119312526116229/d34605dex991.htm,2026-03-19,high,2026-07-25,accounting,1
Silex Systems Limited,Global Laser Enrichment (GLE),invests-in,Silex Systems owns the remaining 51% of GLE and is the SILEX technology licensor and technology lead for the laser-enrichment project (Cameco FY2025 Annual Information Form).,https://www.sec.gov/Archives/edgar/data/1009001/000119312526116229/d34605dex991.htm,2026-03-19,high,2026-07-25,accounting,1
Rosatom / TENEX,Centrus Energy Corp,supplies-enrichment-to,"Centrus sources a significant portion of the LEU it delivers to customers under the TENEX Supply Contract (Enriched Product Transitional Supply Contract with TENEX, signed 2011-03-23, running through 2028); its FY2025 10-K states other supply sources are not sufficient to replace the TENEX supply.",https://www.sec.gov/Archives/edgar/data/1065059/000162828026007117/leu-20251231.htm,2026-02-11,high,2026-07-25,accounting,1
Orano,Centrus Energy Corp,supplies-enrichment-to,"Centrus holds a long-term Orano Supply Agreement (signed 2018) for supply of SWU contained in LEU, one of the non-Russian supply sources named in its FY2025 10-K.",https://www.sec.gov/Archives/edgar/data/1065059/000162828026007117/leu-20251231.htm,2026-02-11,high,2026-07-25,accounting,1
National Atomic Company Kazatomprom,Orano,jv-partner-with,"JV KATCO LLP, the Moinkum/South Tortkuduk in-situ recovery uranium operation in Kazakhstan, is jointly owned by Orano and Kazatomprom; Kazatomprom holds a 49.00% equity interest per its FY2025 IFRS financial statements (note 22, associates), with Orano holding the controlling interest and consolidating Katco (Orano's FY2025 consolidated financial statements name ""Katco mining company and its shareholders, Orano and NAC Kazatomprom JSC"" and record Kazatomprom's stake as a non-controlling interest of EUR 318 million at 31 December 2025).",https://cdn.orano.group/orano/docs/default-source/orano-doc/finance/publications-financieres-et-reglementees/2025/r%C3%A9sultats-annuels-2025/consolidated-financial-statements_as-of-december-31-2025.pdf,2026-02-19,high,2026-07-28,accounting,1
National Atomic Company Kazatomprom,Uranium One (ARMZ),jv-partner-with,"JV ""South Mining Chemical Company"" LLP (SMCC), which holds the subsoil use rights to the Akdala uranium deposit in Kazakhstan, is owned 30% by Kazatomprom and 70% by Uranium One Group JSC, a subsidiary of the Rosatom State Corporation; Kazatomprom's FY2025 Operating and Financial Review states the Akdala SUA ""belong[s] to JV ‘SMCC’ LLP (Kazatomprom – 30%, Uranium One – 70%)"".",https://www.kazatomprom.kz/storage/86/fy2025_ofr_eng.pdf,2026-03-20,high,2026-07-28,accounting,2
CGN Mining Company Limited,National Atomic Company Kazatomprom,jv-partner-with,"CGN Mining holds 49% of two Kazakh uranium mining joint ventures alongside Kazatomprom's 51%: Semizbay-U LLP (the Semizbay and Irkol mines) and Mining Company ""Ortalyk"" LLP (Central Mynkuduk and Zhalpak). CGN Mining's interim results for the six months ended 30 June 2025 state ""the Group was interested in 49% of the equity interest of Semizbay-U... The remaining 51% equity interest of Semizbay-U is held by Kazatomprom"", and the identical 49/51 structure for Ortalyk. Recorded as ONE edge because this map keys relationships on (from, to, type) and two rows for the same pair would collapse on merge, losing one of the two joint ventures.",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0826/2025082601810.pdf,2025-08-26,high,2026-07-28,accounting,1
Electricite de France (EDF),Framatome,invests-in,"EDF's FY2025 consolidated financial statements (note 8, Goodwill/intangibles section) state: ""Non-controlling interests in Framatome, owned 80.5% by the Group via EDF SA, correspond to the 19.5% share held by Mitsubishi Heavy Industries."" EDF bought out Assystem's remaining minority stake in Framatome for EUR 205 million in 2024 (cash flow statement note 3), consistent with the 80.5% figure.",https://www.edf.fr/sites/groupe/files/2026-02/annual-results-2025-consolidated-financial-statements.pdf,2026-02-19,high,2026-07-28,accounting,1
