company,ticker,exchange,hq_country,roles,primary_segment,revenue_usd_b,net_income_usd_b,market_cap_usd_b,rd_spend_usd_b,capex_usd_b,fiscal_year,filing_source,last_updated,chokepoint,notes,lens,source_tier
Boeing,BA,NYSE,United States,airframe-oem;defense-prime,"commercial jetliners, defense aircraft, space",,,,,,,,2026-07-14,yes,One of only two makers of large (150+ seat) commercial jetliners; the chain has no third route around it for that segment. Acquired Spirit AeroSystems in a deal completed Dec 8 2025 (see Spirit row).,accounting,
Airbus,AIR,Euronext Paris,"Netherlands (incorporated); Toulouse, France (operational HQ)",airframe-oem;defense-prime,"commercial jetliners, defense aircraft, helicopters, space",,,,,,,,2026-07-14,yes,"The other half of the large-jetliner duopoly with Boeing; incorporated as a Dutch SE, headquartered/operated from Toulouse, France.",accounting,
Embraer,ERJ,"NYSE (also B3: EMBR3, Brazil)",Brazil,airframe-oem;defense-prime,"regional jets, business jets, defense aircraft",,,,,,,,2026-07-14,no,"Dominant in regional jets (70-150 seat) but that segment has substitutes (Airbus/Boeing smaller variants, COMAC ARJ21); not a bottleneck for the large-airframe chain.",accounting,
COMAC,,"state-owned, unlisted",China,airframe-oem,"commercial jetliners (C919, ARJ21), state-backed",,,,,,,,2026-07-14,no,China's state jetliner maker; ambition to become a third large-airframe option but as of 2026 still reliant on Western/CFM engines and avionics for the C919 and has not broken the Boeing/Airbus duopoly at scale.,accounting,
GE Aerospace,GE,NYSE,United States,engine-maker;defense-prime,commercial and military jet engines,,,,,,,,2026-07-14,yes,"Member of the jet-engine oligopoly; co-owns CFM International 50/50 with Safran, sole engine supplier for the Boeing 737 and a top option on the Airbus A320. Spun off as the standalone aviation business after GE HealthCare (2023) and GE Vernova (2024) separations.",accounting,
Safran,SAF,Euronext Paris,France,engine-maker;tier1-systems,"jet engines (via CFM JV), landing gear, nacelles, seats",,,,,,,,2026-07-14,no,"Co-owns the CFM International JV 50/50 with GE Aerospace (the CFM56/LEAP line powering most narrowbody jets) -- that JV's chokepoint status is captured under GE Aerospace's row rather than double flagged here. Also a top landing-gear and nacelle supplier, but faces substitutable competition in those lines.",accounting,
Rolls-Royce Holdings,RR.,London Stock Exchange,United Kingdom,engine-maker;defense-prime,"widebody jet engines, defense and marine propulsion",,,,,,,,2026-07-14,yes,One of only three makers of large widebody jet engines (with GE and Pratt & Whitney); sole or near-sole engine option on several widebody programs (e.g. Trent variants on many 787/A350 aircraft).,accounting,
RTX Corporation,RTX,NYSE,United States,engine-maker;tier1-systems;avionics;defense-prime,"jet engines (Pratt & Whitney), avionics and cabin systems (Collins Aerospace), defense systems",,,,,,,,2026-07-14,yes,"Pratt & Whitney is the third member of the widebody/narrowbody engine oligopoly (geared turbofan sole-source on the Airbus A220, an option on the A320neo); Collins Aerospace subsidiary is also a top-tier avionics/systems supplier, compounding RTX's leverage.",accounting,
MTU Aero Engines,MTX,Frankfurt Stock Exchange (Xetra),Germany,engine-maker,"jet engine modules and MRO, minority risk-sharing partner",,,,,,,,2026-07-14,no,"Germany's leading engine maker but participates mainly as a risk-sharing partner (e.g. GEnx, PW1000G, EJ200 programs) rather than as a sole-source prime; substitutable at the partner-share level.",accounting,
Honeywell Aerospace,HON,NASDAQ,United States,avionics;tier1-systems,"avionics, auxiliary power units, mechanical and electronic systems",,,,,,,,2026-07-14,no,"Major avionics and systems supplier but competes with Collins Aerospace, Thales and others across most product lines; not a sole-source bottleneck.",accounting,
Thales,HO,Euronext Paris,France,avionics;defense-prime,"avionics, in-flight entertainment, defense electronics, space",,,,,,,,2026-07-14,no,"Leading European avionics and defense-electronics house; substitutable in most civil avionics lines by Honeywell/Collins, though a near sole option for some European defense electronics programs.",accounting,
