gap_id,kind,subject,sought,searched,found_instead,blocks,would_close_it,status,last_checked
gap-03-autocell-1,out-of-scope,SK On -> Ford,"A named battery-supply edge between SK On and an automaker on the 03-ev-batteries roster (Tesla, Volkswagen Group, General Motors, Toyota).",Utility Dive DOE loan article on BlueOval SK; WardsAuto and Tennessee Lookout / Detroit News articles on the Ford-SK On BlueOval SK joint-venture dissolution.,"The real, well-documented BlueOval SK joint venture supplying US-made battery cells is between SK On and Ford Motor Co. Ford is not on the roster for this map.",Cannot add an SK On <-> Ford edge to this map under the current roster.,Ford Motor Co. added to the 03-ev-batteries company roster.,open,2026-07-25
gap-03-autocell-2,out-of-scope,Envision AESC -> Nissan/Renault/BMW/Mercedes-Benz,"A named supply edge between Envision AESC and a roster automaker (Tesla, Volkswagen Group, General Motors, Toyota).",General web search on Envision AESC's automaker customer base and its history as the former NEC/Nissan AESC joint venture.,"Envision AESC's disclosed automaker customers are Nissan, Renault, BMW, and Mercedes-Benz -- none on the roster. No named deal with Tesla, Volkswagen Group, General Motors, or Toyota was found.",Envision AESC cannot be linked to any roster automaker in this slice.,"Nissan, Renault, BMW, or Mercedes-Benz added to the roster, or a direct Envision AESC deal with a roster automaker is announced.",open,2026-07-25
gap-03-autocell-3,out-of-scope,EVE Energy -> BMW,A named supply edge between EVE Energy and a roster automaker.,"General web search on EVE Energy's EV automaker customers and overseas capacity expansion (Hungary, Malaysia).","EVE Energy's disclosed EV cell customers are led by BMW and other non-roster automakers; no named supply deal with Tesla, Volkswagen Group, General Motors, or Toyota was found.",EVE Energy cannot be linked to any roster automaker in this slice.,"BMW added to the roster, or a direct EVE Energy deal with a roster automaker is announced.",open,2026-07-25
gap-03-autocell-4,out-of-scope,CALB -> Zeekr/Leapmotor/GAC,A named supply edge between CALB (China Aviation Lithium Battery) and a roster automaker.,General web search on CALB's disclosed automaker customer base.,"CALB's named customers are predominantly Chinese automakers (Zeekr, Leapmotor, GAC, Changan and others), none of which are Tesla, Volkswagen Group, General Motors, or Toyota.",CALB cannot be linked to any roster automaker in this slice.,"One of CALB's named Chinese automaker customers added to the roster, or a direct CALB deal with a roster automaker is announced.",open,2026-07-25
gap-03-autocell-5,unevidenced-flag,LG Energy Solution -> Tesla,"A primary source (LG Energy Solution annual report/audited filing, or a joint Tesla/LG Energy Solution press release) directly naming Tesla as the customer in the 2025 $4.3B LFP battery supply deal.",LG Energy Solution's own newsroom (news.lgensol.com) for a Tesla-named press release; KED Global and electrive.com news coverage of the deal.,"LG Energy Solution's own July 2025 announcement referred only to ""a foreign client"" and did not name Tesla; the Tesla identification comes from industry-source attribution in Korean trade press (KED Global) plus separate US-government confirmation reported by third parties. This mirrors the same customer-concentration-without-naming disclosure pattern the pilot found in CN/HK cell-maker annual reports.",The LG Energy Solution -> Tesla edge in edges_automaker_cell.csv is carried at source_tier 4 / confidence low instead of tier 1-2.,LG Energy Solution or Tesla directly naming each other in an official filing or joint press release for this specific deal.,open,2026-07-25
gap-03-matrec-1,undisclosed,BTR New Energy Materials -> CATL,"A named, dated anode supply agreement (tonnage/value) between BTR New Energy Materials and CATL, comparable to the Tinci/Ronbay/Semcorp deals found for other CATL suppliers.",SMM article 'Leading Anode Material Producer BTR Joins Forces with CATL'; BTR Baidu company-wiki profile; battery-tech.net and Qurator company profiles; Shenzhen Government Online industry piece on BTR.,"Only generic statements that BTR's anode products are used by 'virtually all major battery manufacturers, including CATL, BYD, LG Energy Solution, and Samsung SDI,' plus a 2025 JV filing (Dalian Times Carbon Valley New Energy) between a CATL subsidiary and BTR with no supply terms disclosed.",Cannot add a supplies-anode-to edge from BTR New Energy Materials to CATL under the sourcing bar (named + dated + quoted).,"BTR's Beijing Stock Exchange annual report naming CATL as a customer with volume/percentage, or a dedicated bilateral supply-agreement press release.",open,2026-07-25
gap-03-matrec-2,undisclosed,Ningbo Shanshan -> CATL,"A named, dated cathode/anode/electrolyte supply agreement between Ningbo Shanshan and CATL.",Ningbo Shanshan (ssgf.net) business/product pages; MatrixBCG competitive-landscape summary; Caixin and SMM coverage of the unrelated Ronbay-CATL sodium-ion deal (which is sometimes conflated with Shanshan in aggregator summaries).,"Only a generic claim that 'CATL is a major customer' of Shanshan's lithium battery materials business, with no contract naming, tonnage, or dedicated press release parallel to the Tinci/Ronbay/Semcorp/Senior deals.",Cannot add any supplies-*-to edge from Ningbo Shanshan to CATL.,"Shanshan's own Shenzhen Stock Exchange annual report disclosing named top customers, or a dedicated bilateral supply-agreement announcement.",open,2026-07-25
gap-03-matrec-3,undisclosed,"CATL (supplier concentration, general)",Named identities behind CATL's disclosed raw-material/component supplier concentration.,"CATL FY2025 annual report / HKEX filing (https://www.hkexnews.hk/listedco/listconews/sehk/2026/0310/2026031000039.pdf), the same filing already used for companies.csv financials.","Aggregate disclosure of supplier concentration as a percentage of purchases (e.g. top-five suppliers = X%), with no supplier names given.","Limits this edge file to only the specific named third-party deals found via press releases (Tinci, Semcorp, Ronbay, Umicore/AESC does not apply to CATL); cannot corroborate or rule out other CATL cathode/anode/electrolyte/separator suppliers from CATL's own filing.","A future CATL filing, ESG report, or supplier press release naming individual suppliers (as already happened for Tinci, Semcorp, and Ronbay).",open,2026-07-25
gap-03-matrec-4,undisclosed,"BYD (supplier concentration, general)",Named identities behind BYD's disclosed raw-material/component supplier concentration for cathode/anode/electrolyte/separator materials.,"BYD FY2025 HKEX annual report (https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032702644.pdf), the same filing already used for companies.csv financials.","Aggregate supplier-concentration percentage with no names; BYD's vertical integration through its FinDreams subsidiaries means most cathode/anode/electrolyte production is likely in-house rather than sourced from roster materials makers, but no filing language confirms this either way.",Cannot add any supplies-*-to edge from a roster materials maker into BYD.,BYD naming an external cathode/anode/electrolyte/separator supplier in a filing or press release (none found this burst).,open,2026-07-25
gap-03-matrec-5,unreachable,Ronbay Technology -> Samsung SDI / SK On / EVE Energy,"A named, dated cathode supply agreement (or at minimum a citable primary sentence) between Ronbay Technology and Samsung SDI, SK On, or EVE Energy.",Ronbay Technology (688005.SS) Shanghai Stock Exchange filing PDF at file.finance.sina.com.cn/.../9186088.PDF; TYCORUN industry blog 'Ternary cathode material market and China top 10 ternary cathode material companies'.,"The SSE filing PDF is a scanned/binary Chinese document the fetch tool could not render as text, so no verifiable quote could be pulled from it; the TYCORUN blog names Samsung SDI, SK On, and EVE Energy as Ronbay customers but with no dated agreement, contract terms, or primary citation of its own.","Cannot add supplies-cathode-to edges from Ronbay Technology to Samsung SDI, SK On, or EVE Energy at the required sourcing bar.","A readable copy of Ronbay's SSE annual report/prospectus naming these customers, or a dedicated supply-agreement press release like the CATL deal already captured.",open,2026-07-25
