company,ticker,exchange,hq_country,roles,primary_segment,revenue_usd_b,net_income_usd_b,market_cap_usd_b,rd_spend_usd_b,capex_usd_b,fiscal_year,filing_source,last_updated,chokepoint,notes,lens,source_tier
Visa Inc.,V,NYSE,United States,card-network,Global card payment network operating VisaNet,,,,,,,,2026-07-14,yes,One of two networks that clear the large majority of the world's card transactions; issuers and acquirers globally have no viable substitute for reach and interoperability.,accounting,
Mastercard Incorporated,MA,NYSE,United States,card-network,Global card payment network,,,,,,,,2026-07-14,yes,Second half of the global card-network duopoly with Visa; together the two route the overwhelming majority of cross-border card volume.,accounting,
American Express Company,AXP,NYSE,United States,card-network;issuer;acquirer,"Closed-loop charge/credit card network, card issuer, and merchant acquirer",,,,,,,,2026-07-14,no,Closed-loop (issues its own cards and acquires its own merchants) but a distant third by volume behind Visa/Mastercard; both merchants and cardholders can route around it.,accounting,
Discover Global Network (Capital One Financial Corp.),COF,NYSE,United States,card-network;issuer,Card network and card issuer; Discover Financial Services was acquired by Capital One (deal completed 2025-05-18),,,,,,,,2026-07-14,no,"Discover Financial Services no longer trades independently. Capital One retained and continues to operate the Discover Global Network as a fourth, minority-share global card rail; not a chokepoint.",accounting,
UnionPay,,,China,card-network;domestic-switch,State-linked domestic and international bank card network and switch,,,,,,,,2026-07-14,yes,"Mandated switch for RMB-denominated card transactions in mainland China and, by transaction value, the world's largest card network; no domestic alternative is permitted. Not listed on a public exchange; equity stakes trade only on a Chinese property/equity exchange.",accounting,
"Fiserv, Inc.",FI,NYSE,United States,processor;issuer-processor;acquirer,"Core banking, issuer processing, and merchant acquiring (Clover)",,,,,,,,2026-07-14,no,"Large but one of several competing processors (FIS, Global Payments, Fidelity, TSYS); banks and merchants can and do switch vendors.",accounting,
"FIS (Fidelity National Information Services, Inc.)",FIS,NYSE,United States,processor;core-banking,Core banking software and payment processing sold to banks,,,,,,,,2026-07-14,no,"Competes directly with Fiserv and Jack Henry for core banking contracts; substitutable, if costly to switch.",accounting,
Global Payments Inc.,GPN,NYSE,United States,acquirer;processor,Merchant acquiring and payment processing,,,,,,,,2026-07-14,no,One of many merchant acquirers; competitive market with low structural lock-in at the network level.,accounting,
"PayPal Holdings, Inc.",PYPL,NASDAQ,United States,alt-rail;gateway;acquirer,"Online wallet, checkout gateway, and peer-to-peer payments",,,,,,,,2026-07-14,no,Dominant online-checkout brand but merchants typically offer competing wallets and card checkout alongside it.,accounting,
"Block, Inc.",XYZ,NYSE,United States,acquirer;issuer-processor;alt-rail,Square merchant acquiring/POS hardware and Cash App peer-to-peer payments,,,,,,,,2026-07-14,no,Ticker changed from SQ to XYZ effective 2025-01-21 alongside the Square-to-Block corporate rebrand. Competitive small-merchant acquiring segment.,accounting,
Adyen N.V.,ADYEN,Euronext Amsterdam,Netherlands,acquirer;gateway;processor,Single-platform global payment processing and acquiring,,,,,,,,2026-07-14,no,"Enterprise merchants commonly multi-home with Stripe, Worldpay, or in-house acquiring; not structurally irreplaceable.",accounting,
"Stripe, Inc.",,,United States,gateway;processor;acquirer,Developer-first online payment infrastructure and billing,,,,,,,,2026-07-14,no,"Large private fintech (last private tender valuations in the ~$90-110B range); still private with no public ticker. Merchants can and do multi-home with Adyen, Braintree, or Checkout.com.",accounting,
"ACI Worldwide, Inc.",ACIW,NASDAQ,United States,processor;interbank-messaging,Real-time payments and bank/biller payment software,,,,,,,,2026-07-14,no,"Software vendor to banks and networks; competes with FIS, Volante, and in-house builds.",accounting,
Worldline SA,WLN,Euronext Paris,France,acquirer;processor,European merchant acquiring and payment processing,,,,,,,,2026-07-14,no,"Major European acquirer but faces Adyen, Nexi, and bank-owned acquirers as substitutes.",accounting,
Nexi S.p.A.,NEXI,Euronext Milan,Italy,acquirer;processor;issuer-processor,Italian/European merchant acquiring and card issuing processing,,,,,,,,2026-07-14,no,Regional consolidator (merged with Nets and SIA) but still one of several pan-European players.,accounting,
Nuvei Corporation,,,Canada,gateway;processor;acquirer,Global payment gateway and acquiring platform,,,,,,,,2026-07-14,no,"Taken private by Advent International (with founder Philip Fayer, Novacap, and CDPQ) in a deal that completed 2024-11-15, ~US$6.3B enterprise value; no longer public, no ticker.",accounting,
