company,ticker,exchange,hq_country,roles,primary_segment,revenue_usd_b,net_income_usd_b,market_cap_usd_b,rd_spend_usd_b,capex_usd_b,fiscal_year,filing_source,last_updated,chokepoint,notes,lens,source_tier
Nutrien Ltd,NTR,NYSE / TSX,Canada,potash-maker;nitrogen-maker;phosphate-maker;ag-retailer,"Potash, nitrogen and phosphate crop nutrients plus farm retail",,,,,,,,2026-07-14,no,"World's largest potash producer (Saskatchewan); one of three players (with Belaruskali, Uralkali) controlling the great majority of globally traded potash.",accounting,
Mosaic Company,MOS,NYSE,United States,phosphate-maker;potash-maker,Phosphate and potash crop nutrients,,,,,,,,2026-07-14,no,"Large North American phosphate/potash producer (Florida phosphate, Saskatchewan/New Mexico potash) but not a sole-source node; substitutable within the broader market OCP and the potash trio anchor.",accounting,
OCP Group,,,Morocco,phosphate-rock-miner;phosphate-maker,Phosphate rock mining and phosphate fertilizer production,,,,,,,,2026-07-14,yes,"State-owned; Morocco holds roughly 70% of world phosphate rock reserves and OCP is the dominant miner/processor of it, the single hardest-to-route-around node in this map.",accounting,
Yara International ASA,YAR,Oslo Bors (Euronext Oslo),Norway,nitrogen-maker,"Nitrogen fertilizers: ammonia, urea, nitrates",,,,,,,,2026-07-14,yes,"One of the two largest Western nitrogen producers; ammonia/urea cost and output are directly hostage to natural gas price and availability, the feedstock chokepoint for nitrogen.",accounting,
CF Industries Holdings,CF,NYSE,United States,nitrogen-maker,Ammonia and urea nitrogen fertilizers,,,,,,,,2026-07-14,yes,"Largest North American nitrogen producer, advantaged by cheap US shale gas; same gas-linked chokepoint logic as Yara from the other side of the Atlantic.",accounting,
ICL Group Ltd,ICL,NYSE,Israel,potash-maker;phosphate-maker;specialty-minerals,"Potash, phosphate specialty fertilizers and bromine",,,,,,,,2026-07-14,no,"Significant Dead Sea potash and phosphate producer with a specialty/bromine niche, but not large enough globally to be a sole chokepoint.",accounting,
K+S AG,SDF,Frankfurt (Xetra),Germany,potash-maker,Potash and salt,,,,,,,,2026-07-14,no,Europe's main potash and de-icing salt producer; meaningful regional supplier but smaller than the Belarus/Russia/Canada trio.,accounting,
Belaruskali,,,Belarus,potash-maker,Potash mining,,,,,,,,2026-07-14,yes,"State-owned; with Uralkali, one of the two sanctioned/export-restricted potash giants whose output cannot be casually replaced, a genuine can't-route-around supply node since 2022 sanctions and Lithuanian rail/port cutoffs.",accounting,
Uralkali PJSC,URKA,MOEX,Russia,potash-maker,Potash mining,,,,,,,,2026-07-14,yes,Majority controlled via Uralchem; alongside Belaruskali forms the Belarus+Russia potash bloc that Western sanctions and logistics restrictions have made a persistent supply chokepoint.,accounting,
PhosAgro PJSC,PHOR,MOEX,Russia,phosphate-maker;nitrogen-maker,Phosphate-based fertilizers and nitrogen products,,,,,,,,2026-07-14,no,"Large vertically integrated Russian phosphate producer, MOEX Level 1 listed; significant but not irreplaceable given Morocco's reserve dominance.",accounting,
