from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
Tianqi Lithium Corporation,SQM (Sociedad Quimica y Minera de Chile),invests-in,"SQM's FY2025 20-F names Tianqi Lithium Corporation and its wholly owned subsidiary Inversiones TLC SpA as a principal shareholder owning approximately 21.9 percent of SQM, states that Tianqi is simultaneously a competitor in the lithium business and has the right to choose up to three SQM board members, and notes Chilean law limits SQM's ability to withhold competitively sensitive information from a director. The same filing discloses Tianqi is selling down: it has disposed of all its Series B shares and a board approved Series A disposal would reduce its stake to roughly 20.65 percent.",https://www.sec.gov/Archives/edgar/data/0000909037/000090903726000023/sqm-20251231.htm,2026-04-22,high,2026-07-16,accounting,1
Albemarle Corporation,Tianqi Lithium Corporation,competes-with,"Albemarle's FY2023 10-K states that major competitors in lithium compounds include Sichuan Tianqi Lithium, among others, in the Business section describing the competitive landscape for lithium compounds.",https://www.sec.gov/Archives/edgar/data/915913/000091591324000016/alb-20231231.htm,2024-02-15,high,2026-07-16,accounting,1
Albemarle Corporation,Ganfeng Lithium Group,competes-with,"Albemarle's FY2023 10-K states that major competitors in lithium compounds include Jiangxi Ganfeng Lithium, in the same sentence of the Business section describing the competitive landscape for lithium compounds that also names Tianqi.",https://www.sec.gov/Archives/edgar/data/915913/000091591324000016/alb-20231231.htm,2024-02-15,high,2026-07-16,accounting,1
Pilbara Minerals (PLS Group Limited),Ganfeng Lithium Group,offtake-with,"Pilbara Minerals' ASX announcement dated 15 January 2024 discloses an amendment to its 2017 offtake agreement with Ganfeng Lithium Group, increasing spodumene concentrate supply from the Pilgangoora Operation from 160,000 tonnes per annum to up to 310,000 tonnes per annum over calendar years 2024 to 2026, priced at prevailing market rates.",https://announcements.asx.com.au/asxpdf/20240115/pdf/05zf9p7cc6ys2g.pdf,2024-01-15,high,2026-07-16,accounting,2
Vale S.A.,Zhejiang Huayou Cobalt,supplies-ore-to,"Vale's FY2025 20-F states that at its Indonesian nickel operations, mineralized limonite ore from Sorowako and Pomalaa is sent to feed preparation plants and then to HPAL plants processed by joint ventures with Huayou Cobalt Co Ltd, described in the Properties section covering the PT Vale Indonesia operations.",https://www.sec.gov/Archives/edgar/data/917851/000129281426001844/valeform20f_2025.htm,2026-03-27,high,2026-07-16,accounting,1
Glencore plc,Umicore,supplies-chemicals-to,"A joint press release hosted on Glencore's own website, dated 29 May 2019, announces a long term revolving agreement for Glencore to supply cobalt hydroxide sourced from its KCC and Mutanda mining operations in the DRC to Umicore's battery materials value chain. ⚠ Evidence is the 2019 release itself, which predates every other source on this map by about six years, and it covers supply sourced partly from Mutanda. Whether the arrangement still holds has not been re-verified.",https://www.glencore.com/dam/jcr:8bf21616-9518-4474-b43a-ed73b2a6488d/201905291000-Umicore-and-Glencore-develop-partnership-for-sustainable-cobalt-supply-in-battery-materials.pdf,2019-05-29,low,2026-07-16,accounting,2
MP Materials,Lynas Rare Earths,competes-with,"MP Materials' FY2022 Form 10-K states that outside of China, there are only two other producers operating at scale, MP Materials and Lynas Rare Earths Ltd, which processes its rare earth materials in Malaysia. ⚠ Evidence is a FY2022 filing, about three years older than the rest of this map's sources, and has not been re-checked against either company's latest filing.",https://www.sec.gov/Archives/edgar/data/1801368/000180136823000009/mp-20221231.htm,2023-02-28,medium,2026-07-16,accounting,1
Neo Performance Materials,Lynas Rare Earths,competes-with,"Neo Performance Materials' 2025 Annual Information Form (for the year ended December 31, 2024) states that in the specialty chemicals markets, Neo competes primarily with two state owned enterprises in China as well as with Lynas Corporation Ltd.",https://www.neomaterials.com/wp-content/uploads/2025/03/Neo-AIF-2025-vF.pdf,2025-03-18,high,2026-07-16,accounting,1
USA Rare Earth Inc,Lynas Rare Earths,competes-with,"USA Rare Earth's FY2025 Form 10-K states that internationally its primary competitors include Lynas Rare Earth Ltd, a leading non Chinese rare earth producer whose operations are largely focused on light rare earth elements with only limited heavy rare earth element production.",https://www.sec.gov/Archives/edgar/data/1970622/000197062226000021/usar-20251231.htm,2026-03-30,high,2026-07-16,accounting,1
Shenghe Resources Holding,MP Materials,distributes-for,"MP Materials' FY2024 10-K states that Shenghe Resources (Singapore) International Trading Pte. Ltd., an indirect majority owned subsidiary of Shenghe Resources Holding Co. Ltd., is contractually the exclusive distributor of MP's rare earth concentrate in China under the 2024 Offtake Agreement on a take or pay basis, and accounted for approximately 80% of MP's consolidated revenue in 2024.",https://www.sec.gov/Archives/edgar/data/1801368/000180136825000009/mp-20241231.htm,2025-02-28,high,2026-07-16,accounting,1
