gap_id,kind,subject,sought,searched,found_instead,blocks,would_close_it,status,last_checked
gap-05-spl-no-public-filing,undisclosed,Scientific Protein Laboratories,"any audited annual financial statements for SPL, a flagged chokepoint",SEC EDGAR full-text and company search; general web search for SPL annual accounts; its parent Shenzhen Hepalink's disclosures,"SPL is privately held and has been a subsidiary of Shenzhen Hepalink since 2014. No SEC filing and no standalone audited accounts exist. Data-broker revenue estimates (D&B, ZoomInfo type profiles) were deliberately NOT substituted.","one of this map's six chokepoints carries no figures at all, so the crude-heparin API concentration hypothesis cannot be sized from this map","Shenzhen Hepalink segment disclosure that breaks out SPL separately, or an SPL filing if it ever lists",open,2026-07-21
gap-05-lonza-unreachable-and-unaudited,unreachable,Lonza Group,"Lonza's AUDITED FY2025 consolidated financial statements, for a flagged chokepoint","lonza.com annual report PDF, financials page and guessed report URLs, via both an automated fetch and direct curl; an SGX mirror of Lonza's own Full-Year Results 2025 deck","lonza.com returns an Akamai HTTP 403 to every user agent tried. The only reachable document is Lonza's own results deck, whose p.42-43 footnote states the FY2025 figures are UNAUDITED and cover only the continuing CDMO business EXCLUDING the divested CHI segment, with audited statements due in April. Those figures were deliberately NOT merged: a continuing-operations-only number in the same column as 27 total-company numbers is not comparable.","a flagged chokepoint, and the sterile-injectable/biologics CDMO hypothesis, sits uncosted on a map whose other rows are total-company figures","Lonza's audited 2025 Annual Report once published, or any reachable host serving it",open,2026-07-21
gap-05-samsung-biologics-partial,unreachable,Samsung Biologics,"net income, R&D, capex and market cap for Samsung Biologics",the Korean DART electronic disclosure system and Samsung Biologics' own investor-relations site,"DART was not accessible and the IR site is JavaScript-rendered, which blocked PDF discovery. Only revenue could be sourced, and only at tier 2 from the company newsroom rather than from an audited filing.","the leading Western-aligned alternative to Chinese biologics CDMOs is only partly costed, which weakens any substitutability comparison against WuXi Biologics","the DART filing for Samsung Biologics' FY2025 audited report, or a non-JS route to its IR PDFs",open,2026-07-21
gap-05-cigna-capex-untagged,undisclosed,Cigna (Express Scripts),cash-flow capital expenditure for Cigna,Cigna's SEC XBRL companyfacts history for PaymentsToAcquirePropertyPlantAndEquipment and PaymentsForProceedsFromProductiveAssets,"both concepts stop dead after FY2019 in Cigna's own XBRL history, and no substitute cash-flow capex tag was found. Left empty rather than approximated from a PP&E roll-forward.","one of the three PBM-layer companies has no capex figure, so capital intensity cannot be compared across that layer",reading the capex line directly off Cigna's 10-K cash-flow statement rather than from XBRL,open,2026-07-21
gap-05-catalent-no-market-cap,undisclosed,Catalent,a market capitalisation for Catalent,SEC XBRL companyfacts and market data sources,"Catalent was taken private by Novo Holdings in a deal that closed in December 2024, so no public market price exists. The acquisition consideration was deliberately NOT substituted as a market cap, because it is a transaction price at one date, not a market valuation.","a CDMO-layer company cannot be size-compared on market cap, only on revenue","nothing, while Catalent remains private. The row is correct as it stands and the gap records why the cell is empty.",open,2026-07-21
gap-05-india-partial-disclosure,undisclosed,Sun Pharmaceutical Industries; Aurobindo Pharma; Cipla,"annual R&D spend, capex and market cap for the three large Indian generics and API makers",each company's own audited-results press release and earnings presentation for the year ended 2026-03-31,the Indian quarterly results format carries the P&L but not the cash-flow statement or share count. Aurobindo's deck disclosed R&D and capex only QUARTERLY; annualising them was declined as it would have been arithmetic presented as disclosure.,"the API-concentration hypothesis rests partly on these three, and R&D and capital intensity are exactly the measures that would show whether they can absorb re-sourced volume","each company's full annual report for FY2026 once filed with BSE/NSE, which carries the cash-flow statement",open,2026-07-21
gap-05-wuxi-biologics-customers-undisclosed,undisclosed,WuXi Biologics customer identities,"Which named originator/branded pharma companies (roster: Pfizer, Roche, Novartis, Merck & Co, Sanofi, Eli Lilly, AbbVie, etc.) are WuXi Biologics' largest biologics-CDMO customers, and by what revenue share.",https://doc.irasia.com/listco/hk/wuxibiologics/annual/2025/ar2025.pdf,"""The Group has established partnerships with the world's top 20 pharmaceutical companies."" ""The top 5 customers' revenue... accounting for 26.1% of the Group's total revenue for the year ended December 31, 2025... The top 10 customers' revenue... accounting for 37.6%."" No customer is named anywhere in the 508,425-character document; the only roster names present (Roche, Merck, Sanofi, Eli Lilly, AbbVie, Lonza) appear exclusively in director/executive biography paragraphs describing where individual board members previously worked, not in any customer or supplier disclosure.",hypothesis-2 (CDMO customer concentration),"A customer-named supply/manufacturing agreement 8-K, investor-day slide, or the customer's own 10-K/20-F disclosing WuXi Biologics by name as a manufacturing partner.",open,2026-07-22
gap-05-wuxi-apptec-customers-undisclosed,undisclosed,WuXi AppTec customer identities,"Which named originator pharma companies are WuXi AppTec's top customers and what fraction of revenue they represent, in a document that also names them.",https://pdf.dfcfw.com/pdf/H2_AN202603231820702081_1.pdf,"""前五名客户销售额人民币2,186,830.20万元，占年度销售总额48.11%；其中前五名客户销售额中关联方销售额0万元"" (English: ""The top five customers' sales revenue was RMB 21,868,302,000, accounting for 48.11% of annual total sales revenue; of which related-party sales within the top five customers were RMB 0, 0% of annual total sales revenue."") No customer names are given anywhere in the 236,455-character filing. The only roster-adjacent Latin names found (Pfizer, AstraZeneca) and Chinese names (辉瑞/Pfizer) appear solely in an executive's pre-WuXi career biography, not in a customer disclosure.","hypothesis-2 (CDMO customer concentration) -- notably the MOST concentrated top-5 figure found across all three CDMO filings read (48.11%), yet the least identified.","A customer-named manufacturing/supply agreement filed by WuXi AppTec or, more likely, by one of its customers (e.g. a Merck, Pfizer, or Novartis 10-K disclosing WuXi AppTec by name as a CDMO/CRO vendor).",open,2026-07-22
gap-05-huahai-customers-undisclosed,undisclosed,Zhejiang Huahai Pharmaceutical customer identities,"Which named generic/API-purchasing companies (US or EU) buy Huahai's APIs (e.g. sartans, other cardiovascular APIs) and in what concentration.",https://static.cninfo.com.cn/finalpage/2026-04-30/1225259952.PDF,"""前五名客户销售额208,132.28 万元，占年度销售总额24.24%"" (English: ""Top five customers' sales revenue was RMB 2,081,322,800, accounting for 24.24% of annual total sales revenue; of which related-party sales were RMB 0, 0%."") No customer names given. Two apparent roster hits were checked and REJECTED as false positives: ""默克"" (Merck) is a former employer named only in an executive's personal biography (a manager who previously worked at ""杭州默沙东制药"" / Merck Sharp & Dohme Hangzhou before joining Huahai); ""强生"" (a literal substring of Johnson & Johnson's Chinese name) is not J&J at all here -- it is a substring inside ""普霖强生生物制药股份公司"" (Pulin Qiangsheng Biopharmaceutical), the name of one of Huahai's own subsidiaries, unrelated to Johnson & Johnson.",hypothesis-1 (API/crude-heparin second-source concentration) -- Huahai is a named sartan/API maker; its actual generic-drug customers remain unidentified from this filing.,"An FDA import-alert or drug-master-file cross-reference naming Huahai as an API source, or a customer's 10-K disclosing Huahai by name as a raw-material supplier.",open,2026-07-22
gap-05-samsung-biologics-customer-undisclosed,undisclosed,Samsung Biologics largest customer / European pharma deal,Identity of the counterparty behind Samsung Biologics' newly announced large manufacturing agreement.,https://www.prnewswire.com/news-releases/samsung-biologics-reports-fourth-quarter-and-fiscal-year-2025-financial-results-302666431.html,"""The company secured a KRW 1.1 trillion manufacturing agreement with a European pharmaceutical company in the fourth quarter of 2025, contributing to a cumulative contract value exceeding USD 21 billion."" The counterparty is anonymized as ""a European pharmaceutical company."" No roster company is named anywhere in the press release outside ""Samsung Biologics"" itself.",hypothesis-2 (CDMO capacity concentration) -- this is the single largest disclosed dollar figure found in this burst for an unnamed CDMO relationship.,The named counterparty's own investor disclosure of the KRW 1.1 trillion / cumulative USD 21 billion Samsung Biologics agreement (most large-cap pharma disclose major CDMO capacity reservations in supply-chain risk sections).,open,2026-07-22
