company,ticker,exchange,hq_country,roles,primary_segment,revenue_usd_b,net_income_usd_b,market_cap_usd_b,rd_spend_usd_b,capex_usd_b,fiscal_year,filing_source,last_updated,chokepoint,notes,lens,source_tier
A.P. Moller-Maersk,MAERSK-B,Nasdaq Copenhagen,Denmark,liner-operator;terminal-operator;logistics,"Container shipping, terminals & logistics",,,,,,,,2026-07-14,no,World's 2nd largest liner by capacity; co-anchors the Gemini Cooperation alliance with Hapag-Lloyd (launched Feb 2025); owns APM Terminals (listed separately here).,accounting,
MSC (Mediterranean Shipping Company),,,Switzerland,liner-operator;terminal-operator,Container shipping,,,,,,,,2026-07-14,no,"Privately held by the Aponte family; world's largest container line by TEU capacity (>20% of global fleet); operates independently, outside the three formal vessel-sharing alliances. Terminal arm is Terminal Investment Ltd (TiL).",accounting,
CMA CGM,,,France,liner-operator;terminal-operator;logistics,Container shipping & logistics,,,,,,,,2026-07-14,no,"Privately held by the Saade family; anchor member of the Ocean Alliance alongside COSCO, Evergreen and OOCL; owns CEVA Logistics.",accounting,
Hapag-Lloyd,HLAG,Frankfurt (Xetra),Germany,liner-operator;terminal-operator,Container shipping,,,,,,,,2026-07-14,no,"Co-anchors the Gemini Cooperation alliance with Maersk (launched Feb 2025, replacing its old THE Alliance membership).",accounting,
COSCO Shipping Holdings,1919,"HKEX (dual listed, also 601919 Shanghai)",China,liner-operator;terminal-operator,Container shipping & port terminals,,,,,,,,2026-07-14,no,State-controlled via China COSCO Shipping Corporation; majority owner (90.1%) of OOIL/OOCL since 2018; anchor of the Ocean Alliance.,accounting,
Ocean Network Express (ONE),,,Singapore,liner-operator,Container shipping,,,,,,,,2026-07-14,no,"Private joint venture of Japan's NYK, MOL and K Line (formed 2017, combining their container businesses); anchors the Premier Alliance with Yang Ming and HMM.",accounting,
Evergreen Marine Corp (Taiwan),2603,Taiwan Stock Exchange,Taiwan,liner-operator,Container shipping,,,,,,,,2026-07-14,no,Member of the Ocean Alliance; affiliated Evergreen Group also runs shipbuilding and leasing arms not covered by this row.,accounting,
"HMM Co., Ltd",011200,Korea Exchange (KRX),South Korea,liner-operator,Container & bulk shipping,,,,,,,,2026-07-14,no,Majority owned by state-backed Korea Ocean Business Corporation and Korea Development Bank; member of the Premier Alliance.,accounting,
Yang Ming Marine Transport,2609,Taiwan Stock Exchange,Taiwan,liner-operator,Container shipping,,,,,,,,2026-07-14,no,Member of the Premier Alliance with ONE and HMM.,accounting,
ZIM Integrated Shipping Services,ZIM,NYSE,Israel,liner-operator,Container shipping,,,,,,,,2026-07-14,no,Operates independently outside the three formal vessel-sharing alliances; leans on chartered rather than owned tonnage.,accounting,
Orient Overseas (International) Ltd / OOCL,0316,HKEX,"Hong Kong SAR, China",liner-operator,Container shipping (OOCL brand),,,,,,,,2026-07-14,no,90.1% owned by COSCO Shipping Holdings since 2018 (Shanghai Port Group holds 9.9%); kept its own listing and brand; sails within the Ocean Alliance.,accounting,
DP World,,,United Arab Emirates,port-operator,Global container terminal operation & logistics,,,,,,,,2026-07-14,no,Wholly owned by Dubai World (UAE government investment vehicle) since delisting from Nasdaq Dubai in 2020; one of the top 3 global terminal operators by throughput.,accounting,
PSA International,,,Singapore,port-operator,Global container terminal operation,,,,,,,,2026-07-14,no,Wholly owned by Temasek Holdings (Singapore sovereign investor); operates the flagship Port of Singapore plus stakes in roughly 60 terminals worldwide.,accounting,
CK Hutchison Holdings (Hutchison Ports),1 (0001),HKEX,"Hong Kong SAR, China",port-operator,"Ports (Hutchison Ports division), plus retail, infrastructure & telecom",,,,,,,,2026-07-14,no,Ports and Related Services segment operates about 295 berths in 53 ports across 24 countries; in 2025 was negotiating sale of Panama Canal-adjacent Balboa/Cristobal port stakes to a BlackRock-led consortium amid US political pressure.,accounting,
China Merchants Port Holdings,144 (0144),HKEX,China,port-operator,Global port & logistics terminal operation,,,,,,,,2026-07-14,no,"Controlled by state-owned China Merchants Group; large stakes in ports across Asia, Africa and the Mediterranean, part of China's Belt and Road port network.",accounting,
APM Terminals,,,Netherlands (operating HQ; parent Denmark),port-operator,Container terminal operation,,,,,,,,2026-07-14,no,Wholly owned Terminals division of A.P. Moller-Maersk; not separately listed; reports inside Maersk's consolidated accounts.,accounting,
China CSSC Holdings (CSSC),600150,Shanghai Stock Exchange,China,shipbuilder,Commercial & naval shipbuilding,,,,,,,,2026-07-14,yes,"Listed flagship of state-owned China State Shipbuilding Corporation; absorbed rival China Shipbuilding Industry Co (601989) in an August 2025 merger, creating the world's largest shipbuilder by tonnage delivered. China alone has built more than half of global gross shipbuilding tonnage in recent years.",accounting,
HD Hyundai Heavy Industries,329180,Korea Exchange (KRX),South Korea,shipbuilder,"Commercial shipbuilding, offshore & naval vessels",,,,,,,,2026-07-14,yes,Core shipbuilding unit of the HD Hyundai group; one of Korea's 'big three' yards alongside Samsung Heavy and Hanwha Ocean.,accounting,
Samsung Heavy Industries,010140,Korea Exchange (KRX),South Korea,shipbuilder,Commercial shipbuilding & offshore,,,,,,,,2026-07-14,yes,"One of Korea's big three yards; leading builder of large LNG carriers, a vessel class with very few qualified yards worldwide.",accounting,
Hanwha Ocean,042660,Korea Exchange (KRX),South Korea,shipbuilder,"Commercial shipbuilding, offshore & naval vessels",,,,,,,,2026-07-14,yes,Formerly Daewoo Shipbuilding & Marine Engineering (DSME); acquired and rebranded by Hanwha Group in 2023; one of Korea's big three yards.,accounting,
Suez Canal Authority (SCA),,,Egypt,canal-authority,Canal transit infrastructure (Mediterranean-Red Sea shortcut),,,,,,,,2026-07-14,yes,"INFRASTRUCTURE NODE, not a company. Sole operator of the Suez Canal under Egyptian state ownership since the 1956 nationalization; no substitute route for Asia-Europe traffic except the roughly 10-day-longer Cape of Good Hope detour. 2023-2025 Houthi Red Sea attacks pushed much container traffic off this route, proving the chokepoint's fragility.",accounting,
Panama Canal Authority (ACP),,,Panama,canal-authority,Canal transit infrastructure (Atlantic-Pacific shortcut),,,,,,,,2026-07-14,yes,"INFRASTRUCTURE NODE, not a company. Autonomous Panamanian government agency operating the canal since the 1999 US handover. 2023-2024 drought forced draft and transit restrictions, showing how weather alone can throttle global trade through this one node; also a 2025-2026 flashpoint in US political rhetoric about the canal.",accounting,
Strait of Hormuz (chokepoint),,,Iran / Oman (littoral states; international strait),strait-chokepoint,Persian Gulf oil & LNG export route,,,,,,,,2026-07-14,yes,"GEOGRAPHIC NODE, not a company or single authority. No canal authority; regulated only by international law (UNCLOS transit passage) and patrolled militarily (US Fifth Fleet, Iran's IRGC Navy). Roughly a fifth of global oil and a third of global LNG transits this approximately 33km-wide strait; Iran has repeatedly threatened closure.",accounting,
Strait of Malacca (chokepoint),,,Indonesia / Malaysia / Singapore (littoral states),strait-chokepoint,Indian Ocean-South China Sea shortcut,,,,,,,,2026-07-14,yes,"GEOGRAPHIC NODE, not a company. No single authority; jointly policed by Indonesia, Malaysia and Singapore under the Malacca Strait Patrol. Carries an estimated 25%+ of world seaborne trade; the only realistic alternatives (Lombok, Sunda, Makassar straits) add significant transit time and are poorly suited to the largest vessels.",accounting,
Bab-el-Mandeb Strait (chokepoint),,,Yemen / Djibouti (littoral states),strait-chokepoint,Red Sea-Gulf of Aden gateway feeding the Suez Canal,,,,,,,,2026-07-14,yes,"GEOGRAPHIC NODE, not a company. No single governing authority. 2023-2025 Houthi attacks from Yemen on shipping transiting this strait forced most major liners (Maersk, MSC, CMA CGM, Hapag-Lloyd) to reroute around Africa, demonstrating that losing this roughly 30km strait effectively also closes the Suez Canal behind it.",accounting,
Bosphorus Strait (Turkey),,,Turkey,strait-chokepoint;national-authority,Black Sea-Mediterranean gateway,,,,,,,,2026-07-14,yes,"GEOGRAPHIC NODE, not a company. Unlike Hormuz, Malacca and Bab-el-Mandeb, this strait has a single governing authority: Turkey, under the 1936 Montreux Convention, which gives Ankara the right to regulate and, in wartime, close transit. Became a live issue after 2022 when Turkey restricted some warship and tanker passage tied to the Russia-Ukraine war.",accounting,
