source_id,tier,lens,publisher,company,title,url,retrieved,note,status,superseded_by
src-pfizer,1,accounting,US SEC EDGAR,Pfizer,"Pfizer financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-johnson-johnson-innovative-medicin,1,accounting,US SEC EDGAR,Johnson & Johnson (Innovative Medicine),"Johnson & Johnson (Innovative Medicine) financial statements, FY2025 (ended 2025-12-28)",https://www.sec.gov/Archives/edgar/data/200406/000020040626000016/jnj-20251228.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-roche-holding,1,accounting,assets.roche.com,Roche Holding,"Roche Holding financial statements, FY2025 (ended 2025-12-31)",https://assets.roche.com/f/176343/x/fca190f63e/fb25e.pdf,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-novartis,1,accounting,US SEC EDGAR,Novartis,"Novartis financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/1114448/000111444826000004/0001114448-26-000004-index.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-merck-co,1,accounting,US SEC EDGAR,Merck & Co,"Merck & Co financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/310158/000031015826000063/mrk-20251231.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-astrazeneca,1,accounting,US SEC EDGAR,AstraZeneca,"AstraZeneca financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/0001104659-26-019130-index.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-sanofi,1,accounting,US SEC EDGAR,Sanofi,"Sanofi financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/1121404/000162828026008403/0001628280-26-008403-index.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-eli-lilly,1,accounting,US SEC EDGAR,Eli Lilly,"Eli Lilly financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/59478/000005947826000013/lly-20251231.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-abbvie,1,accounting,US SEC EDGAR,AbbVie,"AbbVie financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-novo-nordisk,1,accounting,www.novonordisk.com,Novo Nordisk,"Novo Nordisk financial statements, FY2025 (ended 2025-12-31)",https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2026/novo-nordisk-annual-report-2025.pdf,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-teva-pharmaceutical-industries,1,accounting,US SEC EDGAR,Teva Pharmaceutical Industries,"Teva Pharmaceutical Industries financial statements, FY2025 (ended 2025-12-31)",https://www.sec.gov/Archives/edgar/data/818686/000119312526034532/d93612d10k.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-sun-pharmaceutical-industries,1,accounting,sunpharma.com,Sun Pharmaceutical Industries,"Sun Pharmaceutical Industries financial statements, FY2026 (ended 2026-03-31)",https://sunpharma.com/wp-content/uploads/2026/05/Press-Release-Sun-Pharma-Q4FY26-Financial-Result.pdf,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-dr-reddy-s-laboratories,1,accounting,US SEC EDGAR,Dr. Reddy's Laboratories,"Dr. Reddy's Laboratories financial statements, FY2025 (ended 2025-03-31)",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/0001575872-26-000381-index.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-aurobindo-pharma,1,accounting,www.aurobindo.com,Aurobindo Pharma,"Aurobindo Pharma financial statements, FY2026 (ended 2026-03-31)",https://www.aurobindo.com/api/uploads/resultsannouncement/APL_EarningsPresentation_Q4FY26.pdf,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-cipla,1,accounting,www.cipla.com,Cipla,"Cipla financial statements, FY2026 (ended 2026-03-31)",https://www.cipla.com/sites/default/files/Cipla_Q4FY26-Press-Release.pdf,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-zhejiang-huahai-pharmaceutical,1,accounting,cninfo (CSRC disclosure venue),Zhejiang Huahai Pharmaceutical,"Zhejiang Huahai Pharmaceutical financial statements, FY2025 (ended 2025-12-31)",https://static.cninfo.com.cn/finalpage/2026-04-30/1225259952.PDF,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-catalent,1,accounting,US SEC EDGAR,Catalent,"Catalent financial statements, FY2024 (ended 2024-06-30)",https://www.sec.gov/Archives/edgar/data/1596783/000159678324000087/ctlt-20240630.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-samsung-biologics,2,accounting,www.prnewswire.com,Samsung Biologics,"Samsung Biologics financial statements, FY2025 (ended 2025-12-31)",https://www.prnewswire.com/news-releases/samsung-biologics-reports-fourth-quarter-and-fiscal-year-2025-financial-results-302666431.html,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-wuxi-apptec,1,accounting,pdf.dfcfw.com,WuXi AppTec,"WuXi AppTec financial statements, FY2025 (ended 2025-12-31)",https://pdf.dfcfw.com/pdf/H2_AN202603231820702081_1.pdf,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-wuxi-biologics,1,accounting,HKEX / company IR,WuXi Biologics,"WuXi Biologics financial statements, FY2025 (ended 2025-12-31)",https://doc.irasia.com/listco/hk/wuxibiologics/annual/2025/ar2025.pdf,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
src-mckesson-corporation,1,accounting,US SEC EDGAR,McKesson Corporation,"McKesson Corporation financial statements, FY2026 (ended 2026-03-31)",https://www.sec.gov/Archives/edgar/data/927653/000092765326000069/mck-20260331.htm,2026-07-21,"revenue, net income, R&D, capex where disclosed",live,
